,,precision,recall,far,d2h,mcc,ifa,recall_20
GLANCE-MD,Mean,0.024582588276893347,0.7794730359800879,0.4131788404450714,0.3335981993087773,0.07747467004130851,1257.0894308943089,0.3802348761421322
GLANCE-MD,Median,0.0186070890388521,0.7861060329067642,0.4125080254479659,0.3310563746998343,0.0729454285427195,264.0,0.3869158878504672
GLANCE-MD,Std Dev,0.01975960217600341,0.06486352599773909,0.01968840751767814,0.025902138605321066,0.03217575035556122,4711.332151258022,0.10681966754223653
GLANCE-EA,Mean,0.026784253772456832,0.5119033130213556,0.24474508923343438,0.388176574795622,0.06414508574588593,637.7317073170732,0.41808186297559663
GLANCE-EA,Median,0.019816267631397,0.5116002379535991,0.2456654254783846,0.3856951321961157,0.059681654506212,224.0,0.4251675353685778
GLANCE-EA,Std Dev,0.021058965379421216,0.12690440071496473,0.0037481127092463943,0.08021465156855345,0.036680832550575984,1046.2313795524276,0.14411565118846537
GLANCE-LR,Mean,0.046472855476799656,0.7067854238866162,0.18207658751415828,0.2586072588350136,0.14129066787681002,235.1219512195122,0.6254952906856118
GLANCE-LR,Median,0.0421854431079356,0.7831858407079646,0.1747723232820675,0.222830347004947,0.1489046824078975,36.0,0.6549165120593692
GLANCE-LR,Std Dev,0.026575574187325597,0.19058327861200342,0.0831051808657993,0.11933103546129206,0.052103109274113706,626.5404437296515,0.19794253151867428
GLANCE+File,Mean,0.046448896417271075,0.7107453871581849,0.18260877632565567,0.25669532154762215,0.14174780518498553,147.1951219512195,0.627388928527208
GLANCE+File,Median,0.0444849499975368,0.7832167832167832,0.172676797194623,0.2177272355143303,0.1495320887669711,21.0,0.6552675124103695
GLANCE+File,Std Dev,0.02611656158483954,0.1911139823013061,0.08482037521588288,0.12005664985420052,0.052308167875332504,322.11854193445123,0.19889132542240406
GLANCE+Line,Mean,0.05265648623225337,0.6503756425732772,0.14816491905638887,0.27708387316478694,0.14669123396798525,381.0243902439024,0.6186089576277526
GLANCE+Line,Median,0.0488901536710301,0.7107942973523421,0.1456262177149423,0.2447643740027976,0.1588241560609036,54.0,0.6794392523364486
GLANCE+Line,Std Dev,0.03141523850554016,0.17683583982546056,0.06530888448528141,0.11423336830783924,0.05547274713910998,1727.9225348045802,0.18638907406106903
GLANCE+,Mean,0.05266888383943923,0.6545408586027294,0.14841187096924596,0.2745962379528617,0.14730981895098547,431.5528455284553,0.6215634069313272
GLANCE+,Median,0.0489056087551299,0.7182645956079271,0.1493664451947863,0.2416927347689681,0.1566426790690027,57.0,0.6711681296421337
GLANCE+,Std Dev,0.030829993414191386,0.17711062531671476,0.0666811053857625,0.11467147875318967,0.05527202925446846,1751.1661884942398,0.18560187245334095
GLANCE-BERT,Mean,0.040719675729238326,0.28546826283295806,0.1043979500551373,0.5245592868546816,0.0682304203699763,186.9430894308943,0.2514077359728769
GLANCE-BERT,Median,0.0279278938815615,0.221436984687868,0.0675394017368928,0.5512765608532897,0.0627859584414635,12.0,0.221436984687868
GLANCE-BERT,Std Dev,0.06106915458753047,0.25122162244056906,0.11495265484378983,0.15365451298798544,0.06342633510358456,802.6238252951133,0.2125547152047297
