,precision,recall,far,d2h,mcc,ifa,recall_20
ambari,0.03661556329331283,0.5081067050587843,0.1544363192672553,0.376121310824078,0.09076618627636833,787.8333333333334,0.4832001048097183
amq,0.06068481816872565,0.7285606980473281,0.119191907353986,0.2153853225060755,0.1792839856455108,149.0,0.7285606980473281
bookkeeper,0.02246768505721175,0.620129192187433,0.2819504442023453,0.3487226200155362,0.07586240871307351,1353.0,0.3735075705658114
calcite,0.10431518723056254,0.706937052227268,0.25798561495123545,0.2766197680634667,0.19758611189131278,124.14285714285714,0.5322172502411895
cassandra,0.036513296929641635,0.6784408939190903,0.20337590021018573,0.2749803985690927,0.11952198534669907,4732.2,0.5189183140219573
flink,0.004844081138359,0.0745052386495925,0.0216477871443624,0.6546026199058843,0.0136169729614034,731.0,0.0745052386495925
groovy,0.021456194818360363,0.5926726132348059,0.13421189905796924,0.31566984475734405,0.08822942595228653,318.3076923076923,0.5854020010492599
hbase,0.027318953500616024,0.6936713449797988,0.22750329619055076,0.27519369789759995,0.10193595519995705,206.5,0.546432041769764
hive,0.013700299147563233,0.28155993707840404,0.06023705154497976,0.5100265484537009,0.0439010145762496,1065.3333333333333,0.28155993707840404
ignite,0.05607520951567255,0.6994329777567678,0.19794075624277405,0.2548170773618082,0.1580736834123138,643.5,0.6874355717904903
log4j2,0.07554152447771223,0.6915525165114506,0.1396391071844174,0.24072933658898926,0.1951091443237348,61.7,0.6915525165114506
mahout,0.07068996043054258,0.634384744140961,0.11740220274673788,0.27384767990385733,0.1794561596554502,100.6,0.634384744140961
mng,0.03517417823062431,0.7267038549101271,0.10096597834144172,0.20632754629089983,0.14280615279270423,60.4,0.7267038549101271
nifi,0.033652766965669066,0.584771338889048,0.19035511262393134,0.3233324022769793,0.10333840457976028,210.66666666666666,0.5607983954890677
nutch,0.04645647065348466,0.778217620700217,0.16533625603074267,0.19771353132230554,0.1625301881284593,45.5,0.776343341576803
storm,0.0322157355145447,0.5726352136541037,0.0344903983362049,0.3037890860026056,0.11886104818972291,271.0,0.5726352136541037
tika,0.08818959309842495,0.7379318061882295,0.18423000656913582,0.2276141607191761,0.20749354182292867,63.09090909090909,0.6906624223361897
ww,0.057955287538254,0.601111179294212,0.09444942643460943,0.29102161142505584,0.15578976239095768,319.5,0.601111179294212
zookeeper,0.037390802723137634,0.6576176226636462,0.2029144579671194,0.2890572188322766,0.11115907592825763,50.666666666666664,0.6339346852574894
